Date,Open,High,Low,Close,Volume
2013-08-06,280.9998,285.9996,256.0000,261.4998,1333741
2013-08-05,289.9998,292.9998,279.3996,281.6998,583069
2013-08-02,303.9996,303.9996,282.1998,289.8996,740617
2013-08-01,326.0496,326.9998,298.0998,304.0998,829393
2013-07-31,313.4998,325.4998,288.5998,323.5498,1444363
2013-07-30,337.9998,338.9998,308.0496,311.7498,669133
2013-07-29,347.8998,350.0496,337.4998,340.1496,284922
2013-07-26,354.7998,357.9996,346.9998,350.9998,265356
2013-07-25,348.9996,363.5496,344.3496,350.4498,517104
2013-07-24,351.9996,356.9998,343.0498,347.5498,525571
2013-07-23,345.9996,356.9998,345.9996,352.6498,288594
2013-07-22,346.9998,352.3998,342.9996,346.2498,256290
2013-07-19,340.9998,349.9998,340.9998,347.1498,257610
2013-07-18,342.9996,346.9998,341.0998,343.4998,198510
2013-07-17,347.5498,348.4498,335.2498,341.9496,191646
2013-07-16,339.8998,350.2998,336.8998,347.0998,513864
2013-07-15,347.9998,347.9998,338.9998,340.3498,655267
2013-07-12,339.9996,344.4996,335.9998,343.1998,286650
2013-07-11,339.9996,343.9498,337.9998,339.5998,412506
2013-07-10,346.9998,346.9998,334.9998,335.9998,548449
2013-07-09,346.7496,353.5498,344.5498,345.7998,356442
2013-07-08,365.9998,365.9998,344.0998,345.5998,752131
2013-07-05,367.9996,379.9996,360.0996,366.2496,220752
2013-07-04,360.1498,374.9998,356.7996,366.5998,386430
2013-07-03,368.9998,368.9998,353.2998,356.7996,286686
2013-07-02,377.6998,378.5496,368.9998,371.6998,362472
2013-07-01,369.9996,374.2996,361.1998,372.9996,292896
2013-06-28,352.4998,367.9996,351.0996,365.5998,420420
2013-06-27,354.7498,354.7498,342.7998,345.7498,238626
2013-06-26,351.9996,352.7496,345.9996,347.6496,212316
2013-06-25,338.9998,352.7998,338.9998,345.6498,500352
2013-06-24,353.9998,353.9998,335.7996,338.2998,318420
2013-06-21,352.0998,355.6498,344.9998,347.7498,312156
2013-06-20,359.9998,359.9998,350.1498,351.4498,244464
2013-06-19,362.8998,366.1998,358.6998,364.0498,462696
2013-06-18,366.5496,366.5496,362.7498,364.8498,212232
2013-06-17,370.9996,372.4996,361.5498,366.5496,357324
2013-06-14,359.9998,371.4996,359.9998,368.4496,447618
